"t","W","Q","kg","Qs.obs","h","Fr","U","Ustar","UUstar","tau","shields","k","hk","kh","Re","sumks","ks","Qs.pred"
NA,NA,NA,NA,NA,0.068,0.906030378933576,0.74,0.22545841301668,3.28220175995496,NA,NA,0.022811710573039,2.98092507277244,0.335466331956455,3935.03600917612,0.0119599929625607,0.0369916629044776,NA
NA,NA,NA,NA,NA,0.059,1.11727071671123,0.85,0.207653208499171,4.09336319021237,NA,NA,0.0222304122939909,2.65402185167516,0.376786649050693,3531.91770398364,0.0142625392979274,0.0267554714484761,NA
NA,NA,NA,NA,NA,0.082,0.847368201198321,0.76,0.244640241988108,3.10660255166419,NA,NA,0.0287130266836703,2.85584661287677,0.350158861995979,5374.41606434896,0.0135883102510952,0.0313881732528012,NA
NA,NA,NA,NA,NA,0.092,0.915779326601074,0.87,0.258779798284178,3.36193167228847,NA,NA,0.0343001503229423,2.68220398843162,0.372827720901547,6791.26700970773,0.015530454639305,0.0347704422740949,NA
NA,NA,NA,NA,NA,0.118,0.762146299023866,0.82,0.306398005868184,2.67625762666606,NA,NA,0.0398516135551872,2.96098424814322,0.337725538603281,9342.35265794863,0.0271976211409152,0.0659292676949932,NA
NA,NA,NA,NA,NA,0.043,0.677460448036607,0.44,0.184275106837576,2.38773433672637,NA,NA,0.0145566939427625,2.95396744405547,0.338527766110757,2052.36138600188,0.0113853730529712,0.0140128880941028,NA
NA,NA,NA,NA,NA,0.05,0.728199992692803,0.51,0.198338347275558,2.57136356637801,NA,NA,0.0152373959214753,3.28140059217934,0.304747918429505,2312.28762344968,0.0126955534575859,0.0161408775372014,NA
NA,NA,NA,NA,NA,0.056,0.782527261570617,0.58,0.209770674785586,2.76492412770679,NA,NA,0.0150978730752731,3.70913172476693,0.269604876344163,2423.17599298177,0.0123576581599549,0.0189933915459962,NA
NA,NA,NA,NA,NA,0.063,0.801374965208164,0.63,0.223465487268169,2.81922728964393,NA,NA,0.0155884726076979,4.04144790740366,0.247436073138062,2665.25296637009,0.0138057611348835,0.0184971025026028,NA
NA,NA,NA,NA,NA,0.075,0.839396900139203,0.72,0.238943926476485,3.0132592638669,NA,NA,0.023351233262814,3.21182179784204,0.31134977683752,4269.04006418139,0.0180023927985766,0.0217869873644411,NA
NA,NA,NA,NA,NA,0.037,0.846515296838048,0.51,0.167828698380223,3.03881281879796,NA,NA,0.0178887312179587,2.06834121152513,0.483479222106992,2297.04856616961,0.00749111303874294,0.0117459114218122,NA
NA,NA,NA,NA,NA,0.037,0.829916957684361,0.5,0.167828698380223,2.97922825372349,NA,NA,0.0188863408297952,1.95908780496159,0.510441644048519,2425.14919558516,0.014508444145887,0.01640006756505,NA
NA,NA,NA,NA,NA,0.035,0.921563433088448,0.54,0.162808537859659,3.31677937225553,NA,NA,0.0176580999689407,1.98209320717192,0.504517141969734,2199.60936290966,0.00850608102541312,0.0110578143624098,NA
NA,NA,NA,NA,NA,0.034,0.969647907964247,0.56,0.160777330491584,3.48307810739098,NA,NA,0.0158536201929576,2.14462057159054,0.466282946851693,1950.19336897566,0.00671371849868522,0.00929934738058677,NA
